,n_steps
1503,9.0
1504,8.0
1505,4.0
1506,3.0
1507,6.0
1508,6.0
1509,9.0
1510,9.0
1511,3.0
1512,5.0
1513,6.0
1514,1.0
1515,5.0
1516,1.0
1517,4.0
1518,3.0
1519,5.0
1520,1.0
1521,5.0
1522,2.0
1523,7.0
1524,7.0
1525,13.0
1526,8.0
1527,30.0
1528,11.0
1529,6.0
1530,10.0
1531,11.0
1532,9.0
1533,16.0
1534,9.0
1535,10.0
1536,5.0
1537,5.0
1538,8.0
1539,3.0
1540,4.0
1541,3.0
1542,12.0
1543,10.0
1544,13.0
1545,15.0
1546,5.0
1547,7.0
1548,25.0
1549,8.0
1550,8.0
1551,6.0
1552,8.0
1553,8.0
1554,2.0
1555,6.0
1556,10.0
1557,7.0
1558,5.0
1559,2.0
1560,7.0
1561,10.0
1562,5.0
1563,2.0
1564,20.0
1565,9.0
1566,2.0
1567,17.0
1568,6.0
1569,6.0
1570,4.0
1571,20.0
1572,4.0
1573,12.0
1574,14.0
1575,8.0
1576,13.0
1577,4.0
1578,18.0
1579,6.0
1580,27.0
1581,17.0
1582,8.0
1583,19.0
1584,14.0
1585,10.0
1586,14.0
1587,10.0
1588,8.0
1589,15.0
1590,1.0
1591,9.0
1592,19.0
1593,24.0
1594,10.0
1595,5.0
1596,10.0
1597,8.0
1598,3.0
1599,10.0
1600,19.0
1601,10.0
1602,5.0
1603,7.0
1604,9.0
1605,7.0
1606,11.0
1607,5.0
1608,5.0
1609,4.0
1610,11.0
1611,6.0
1612,17.0
1613,9.0
1614,11.0
1615,9.0
1616,7.0
1617,1.0
1618,8.0
1619,13.0
1620,11.0
1621,9.0
1622,18.0
1623,8.0
1624,15.0
1625,11.0
1626,6.0
1627,9.0
1628,22.0
1629,16.0
1630,6.0
1631,8.0
1632,5.0
1633,13.0
1634,10.0
1635,9.0
1636,11.0
1637,6.0
1638,7.0
1639,16.0
1640,11.0
1641,5.0
1642,4.0
1643,10.0
1644,20.0
1645,15.0
1646,9.0
1647,7.0
1648,4.0
1649,6.0
1650,13.0
1651,13.0
1652,10.0
1653,7.0
1654,10.0
1655,2.0
1656,5.0
1657,4.0
1658,11.0
1659,8.0
1660,11.0
1661,7.0
1662,6.0
1663,15.0
1664,5.0
1665,10.0
1666,12.0
1667,15.0
1668,6.0
1669,10.0
1670,6.0
1671,5.0
1672,13.0
1673,7.0
1674,27.0
1675,12.0
1676,5.0
1677,6.0
1678,6.0
1679,4.0
1680,18.0
1681,15.0
1682,12.0
1683,4.0
1684,3.0
1685,8.0
1686,14.0
1687,8.0
1688,17.0
1689,18.0
1690,12.0
1691,11.0
1692,5.0
1693,14.0
1694,15.0
1695,16.0
1696,18.0
1697,10.0
1698,9.0
1699,21.0
1700,6.0
1701,7.0
1702,6.0
1703,9.0
1704,4.0
1705,5.0
1706,2.0
1707,3.0
1708,4.0
1709,18.0
1710,5.0
1711,4.0
1712,31.0
1713,10.0
1714,2.0
1715,3.0
1716,11.0
1717,16.0
1718,7.0
1719,2.0
1720,8.0
1721,10.0
1722,3.0
1723,7.0
1724,2.0
1725,9.0
1726,17.0
1727,15.0
1728,15.0
1729,6.0
1730,5.0
1731,14.0
1732,7.0
1733,6.0
1734,12.0
1735,6.0
1736,5.0
1737,22.0
1738,10.0
1739,4.0
1740,10.0
1741,6.0
1742,4.0
1743,9.0
1744,8.0
1745,6.0
1746,15.0
1747,7.0
1748,6.0
1749,9.0
1750,20.0
1751,5.0
1752,6.0
1753,3.0
1754,2.0
1755,4.0
1756,12.0
1757,10.0
1758,15.0
1759,8.0
1760,5.0
1761,14.0
1762,8.0
1763,10.0
1764,4.0
1765,5.0
1766,9.0
1767,5.0
1768,15.0
1769,9.0
1770,8.0
1771,6.0
1772,11.0
1773,12.0
1774,9.0
1775,9.0
1776,20.0
1777,6.0
1778,10.0
1779,8.0
1780,11.0
1781,10.0
1782,25.0
1783,7.0
1784,7.0
1785,8.0
1786,7.0
1787,9.0
1788,11.0
1789,9.0
1790,17.0
1791,5.0
1792,13.0
1793,10.0
1794,24.0
1795,3.0
1796,15.0
1797,14.0
1798,14.0
1799,8.0
1800,18.0
1801,10.0
1802,17.0
1803,19.0
1804,7.0
1805,8.0
1806,15.0
1807,6.0
1808,11.0
1809,10.0
1810,10.0
1811,21.0
1812,14.0
1813,9.0
1814,9.0
1815,6.0
1816,14.0
1817,10.0
1818,5.0
1819,8.0
1820,7.0
1821,14.0
1822,9.0
1823,10.0
1824,5.0
1825,12.0
1826,20.0
1827,6.0
1828,9.0
1829,4.0
1830,27.0
1831,8.0
1832,23.0
1833,5.0
1834,9.0
1835,11.0
1836,11.0
1837,12.0
1838,12.0
1839,14.0
1840,8.0
1841,8.0
1842,14.0
1843,9.0
1844,7.0
1845,10.0
1846,10.0
1847,7.0
1848,6.0
1849,6.0
1850,10.0
1851,14.0
1852,5.0
1853,5.0
1854,9.0
1855,9.0
1856,10.0
1857,12.0
1858,11.0
1859,8.0
1860,11.0
1861,5.0
1862,12.0
1863,5.0
1864,4.0
1865,15.0
1866,6.0
1867,6.0
1868,8.0
1869,18.0
1870,4.0
1871,24.0
1872,8.0
1873,19.0
1874,8.0
1875,11.0
1876,12.0
1877,8.0
1878,8.0
1879,3.0
1880,6.0
1881,3.0
1882,8.0
1883,11.0
1884,6.0
1885,18.0
1886,7.0
1887,12.0
1888,14.0
1889,8.0
1890,14.0
1891,10.0
1892,6.0
1893,14.0
1894,7.0
1895,10.0
1896,15.0
1897,7.0
1898,16.0
1899,10.0
1900,9.0
1901,7.0
1902,5.0
1903,7.0
1904,3.0
1905,6.0
1906,12.0
1907,11.0
1908,7.0
